,id,key,attack,defense,magic,difficulty,tags,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
85,Orianna,61,4,3,9,7,"['Mage', 'Support']",530.0,91,418.0,25.0,325,17.04,3.0,26.0,0.5,525,7.0,0.55,8.0,0.8,0,0,40.368,2.6,3.5,0.658
86,Ornn,516,5,9,3,5,"['Tank', 'Fighter']",590.0,95,340.6,45.0,335,33.0,4.0,32.1,1.25,175,9.0,0.9,8.01,0.6,0,0,69.0,3.5,2.0,0.625
87,Pantheon,80,9,4,3,4,"['Fighter', 'Assassin']",580.0,95,317.12,31.0,355,40.0,3.75,28.0,1.25,175,10.0,0.65,7.356,0.45,0,0,64.0,3.3,2.95,0.644
88,Poppy,78,6,7,2,6,"['Tank', 'Fighter']",540.0,90,280.0,40.0,345,38.0,3.5,32.0,1.25,125,8.0,0.8,7.0,0.7,0,0,64.0,4.0,2.5,0.625
89,Pyke,555,9,3,1,7,"['Support', 'Assassin']",600.0,90,415.0,50.0,330,45.0,3.5,32.0,1.25,150,7.0,0.5,8.0,1.0,0,0,62.0,2.0,2.5,0.667
90,Qiyana,246,0,2,4,8,"['Assassin', 'Fighter']",590.0,90,320.0,50.0,335,28.0,3.5,32.1,1.25,150,8.5,0.65,8.0,0.7,0,0,64.0,3.1,2.1,0.625
91,Quinn,133,9,4,2,5,"['Marksman', 'Assassin']",532.8,85,268.8,35.0,335,28.0,3.5,30.0,0.5,525,5.5,0.55,6.972,0.4,0,0,59.0,2.4,3.1,0.668
92,Rakan,497,2,4,8,5,['Support'],540.0,85,315.0,50.0,335,32.0,3.9,32.1,1.25,300,5.0,0.5,8.75,0.5,0,0,62.0,3.5,3.0,0.635
93,Rammus,33,4,10,5,5,"['Tank', 'Fighter']",564.48,95,310.44,33.0,335,36.0,4.3,32.1,1.25,125,8.0,0.55,7.84,0.5,0,0,55.88,3.5,2.215,0.656
94,RekSai,421,8,5,2,3,['Fighter'],570.0,85,100.0,0.0,335,36.0,3.75,32.1,1.25,175,7.5,0.65,0.0,0.0,0,0,64.0,3.0,2.0,0.667
95,Renekton,58,8,5,2,3,"['Fighter', 'Tank']",575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,0,0,69.0,3.75,2.75,0.665
96,Rengar,107,7,4,2,8,"['Assassin', 'Fighter']",585.0,90,4.0,0.0,345,34.0,3.0,32.1,1.25,125,7.0,0.5,0.0,0.0,0,0,68.0,3.0,3.0,0.667
97,Riven,92,8,5,1,8,"['Fighter', 'Assassin']",560.0,86,0.0,0.0,340,33.0,3.2,32.1,1.25,125,8.5,0.5,0.0,0.0,0,0,64.0,3.0,3.5,0.625
98,Rumble,68,3,6,8,10,"['Fighter', 'Mage']",589.0,85,100.0,0.0,345,31.0,3.5,32.1,1.25,125,8.0,0.6,0.0,0.0,0,0,61.0,3.2,1.85,0.644
99,Ryze,13,2,2,10,7,"['Mage', 'Fighter']",575.0,98,300.0,50.0,340,22.0,3.0,36.0,0.5,550,8.0,0.8,8.0,1.0,0,0,58.0,3.0,2.112,0.625
100,Sejuani,113,5,7,6,4,"['Tank', 'Fighter']",560.0,100,400.0,40.0,340,34.0,4.25,32.1,1.25,150,8.5,1.0,7.0,0.7,0,0,66.0,4.0,3.5,0.688
101,Senna,235,7,2,6,7,"['Marksman', 'Support']",520.0,75,350.0,45.0,330,28.0,3.5,30.0,0.5,600,3.5,0.55,11.5,0.4,0,0,50.0,0.0,4.0,0.625
102,Sett,875,8,5,1,2,"['Fighter', 'Tank']",600.0,93,0.0,0.0,340,33.0,4.0,32.0,1.25,125,7.0,0.5,0.0,0.0,0,0,60.0,4.0,1.75,0.625
103,Shaco,35,8,4,6,9,['Assassin'],587.0,89,297.2,40.0,350,30.0,3.5,32.1,1.25,125,8.5,0.55,7.156,0.45,0,0,63.0,3.0,3.0,0.694
104,Shen,98,3,9,3,4,['Tank'],540.0,85,400.0,0.0,340,34.0,3.0,32.1,1.25,125,8.5,0.75,50.0,0.0,0,0,60.0,3.0,3.0,0.751
105,Shyvana,102,8,6,3,4,"['Fighter', 'Tank']",595.0,95,100.0,0.0,350,38.0,3.35,32.1,1.25,125,8.5,0.8,0.0,0.0,0,0,66.0,3.4,2.5,0.658
106,Singed,27,4,8,7,5,"['Tank', 'Fighter']",580.0,85,330.0,45.0,345,34.0,3.5,32.1,1.25,125,9.5,0.55,7.5,0.55,0,0,63.0,3.375,1.9,0.613
107,Sion,14,5,9,3,5,"['Tank', 'Fighter']",545.0,73,330.0,42.0,345,32.0,3.0,32.1,1.25,175,7.5,0.8,8.0,0.6,0,0,68.0,4.0,1.3,0.679
108,Sivir,15,9,3,1,4,['Marksman'],562.0,90,284.0,50.0,335,26.0,3.25,30.0,0.5,500,3.25,0.55,8.0,0.9,0,0,63.0,3.0,1.6,0.625
109,Skarner,72,7,6,5,5,"['Fighter', 'Tank']",601.28,90,320.0,40.0,335,38.0,3.8,32.1,1.25,125,9.0,0.85,7.206,0.45,0,0,65.0,4.5,2.1,0.625
110,Sona,37,5,2,8,4,"['Support', 'Mage']",482.36,77,340.6,45.0,325,28.0,3.3,30.0,0.5,550,5.5,0.55,11.5,0.4,0,0,49.0,3.0,2.3,0.644
111,Soraka,16,2,5,7,3,"['Support', 'Mage']",535.0,74,425.0,40.0,325,32.0,3.8,30.0,0.5,550,2.5,0.5,11.5,0.4,0,0,50.0,3.0,2.14,0.625
112,Swain,50,2,6,9,8,"['Mage', 'Fighter']",525.0,85,468.0,28.5,325,22.72,4.0,30.0,0.5,525,7.0,0.65,8.0,0.8,0,0,58.0,2.7,2.11,0.625
113,Sylas,517,3,4,8,5,"['Mage', 'Assassin']",525.0,115,280.0,50.0,340,27.0,4.0,32.0,1.75,175,9.0,0.9,7.0,0.8,0,0,61.0,3.0,3.5,0.645
114,Syndra,134,2,3,9,8,"['Mage', 'Support']",523.0,90,480.0,40.0,330,24.712,3.4,30.0,0.5,550,6.5,0.6,8.0,0.8,0,0,53.872,2.9,2.0,0.625
115,TahmKench,223,3,9,6,5,"['Support', 'Tank']",600.0,100,325.0,40.0,335,47.0,3.5,32.1,1.25,175,6.5,0.55,8.0,1.0,0,0,56.0,3.2,2.5,0.658
116,Taliyah,163,1,7,8,5,"['Mage', 'Support']",532.0,90,425.0,30.0,335,20.0,3.5,30.0,0.5,525,7.0,0.7,9.335,0.85,0,0,58.0,3.3,1.36,0.625
117,Talon,91,9,3,1,7,['Assassin'],588.0,95,377.2,37.0,335,30.0,3.5,39.0,1.25,125,8.5,0.75,7.6,0.8,0,0,68.0,3.1,2.9,0.625
118,Taric,44,4,8,5,3,"['Support', 'Fighter']",575.0,85,300.0,60.0,340,40.0,3.4,32.1,1.25,150,6.0,0.5,8.5,0.8,0,0,55.0,3.5,2.0,0.625
119,Teemo,17,5,3,7,6,"['Marksman', 'Assassin']",528.0,90,334.0,20.0,330,24.3,3.75,30.0,0.5,500,5.5,0.65,9.6,0.45,0,0,54.0,3.0,3.38,0.69
120,Thresh,412,5,6,6,7,"['Support', 'Fighter']",560.52,93,273.92,44.0,335,28.0,0.0,30.0,0.5,450,7.0,0.55,6.0,0.8,0,0,56.0,2.2,3.5,0.625
121,Tristana,18,9,3,5,4,"['Marksman', 'Assassin']",559.0,88,250.0,32.0,325,26.0,3.0,30.0,0.5,525,3.75,0.65,7.2,0.45,0,0,61.0,3.3,1.5,0.656
122,Trundle,48,7,6,2,5,"['Fighter', 'Tank']",616.0,96,281.0,45.0,350,37.0,2.7,32.1,1.25,175,6.0,0.75,7.5,0.6,0,0,68.0,3.0,2.9,0.67
123,Tryndamere,23,10,5,2,5,"['Fighter', 'Assassin']",625.64,98,100.0,0.0,345,33.0,3.1,32.1,1.25,125,8.5,0.9,0.0,0.0,0,0,69.0,3.7,2.9,0.67
124,TwistedFate,4,6,2,6,9,['Mage'],534.0,94,333.0,19.0,335,21.0,3.15,30.0,0.5,525,5.5,0.6,8.0,0.8,0,0,52.0,3.3,3.22,0.651
125,Twitch,29,9,2,3,6,"['Marksman', 'Assassin']",612.0,86,287.2,40.0,330,27.0,3.0,30.0,0.5,550,3.75,0.6,7.256,0.45,0,0,59.0,3.11,3.38,0.679
126,Udyr,77,8,7,4,7,"['Fighter', 'Tank']",594.0,99,271.0,30.0,350,34.0,4.0,32.1,1.25,125,6.0,0.75,7.5,0.45,0,0,66.0,5.0,2.67,0.658
127,Urgot,6,8,5,3,8,"['Fighter', 'Tank']",585.0,88,340.0,45.0,330,36.0,4.25,32.1,1.25,350,7.5,0.7,7.25,0.8,0,0,63.0,4.0,3.75,0.625
128,Varus,110,7,3,4,2,"['Marksman', 'Mage']",530.0,91,360.0,33.0,330,27.0,3.4,30.0,0.5,575,3.5,0.55,8.0,0.8,0,0,61.0,3.0,3.0,0.658
129,Vayne,67,10,1,1,8,"['Marksman', 'Assassin']",515.0,89,231.8,35.0,330,23.0,3.4,30.0,0.5,550,3.5,0.55,6.972,0.4,0,0,60.0,2.36,3.3,0.658
130,Veigar,45,2,2,10,7,['Mage'],505.0,94,490.0,26.0,340,23.0,3.75,32.0,0.5,550,6.5,0.6,8.0,0.8,0,0,52.0,2.7,2.24,0.625
131,Velkoz,161,2,2,10,8,['Mage'],520.0,88,469.0,21.0,340,21.88,3.5,30.0,0.5,525,5.5,0.55,8.0,0.8,0,0,54.9379,3.1416,1.36,0.625
132,Vi,254,8,5,3,4,"['Fighter', 'Assassin']",585.0,85,295.0,45.0,340,30.0,4.0,32.1,1.25,125,10.0,1.0,8.0,0.65,0,0,63.0,3.5,2.0,0.644
133,Viktor,112,2,4,10,9,['Mage'],530.0,90,405.0,25.0,335,23.0,4.0,30.0,0.5,525,8.0,0.65,8.0,0.8,0,0,53.0,3.0,2.11,0.658
134,Vladimir,8,2,6,8,7,['Mage'],537.0,96,2.0,0.0,330,23.0,3.3,30.0,0.5,450,7.0,0.6,0.0,0.0,0,0,55.0,3.0,2.0,0.658
135,Volibear,106,7,7,4,3,"['Fighter', 'Tank']",580.0,90,350.0,50.0,340,31.0,4.0,32.0,1.25,150,9.0,0.75,6.25,0.5,0,0,60.0,3.0,2.0,0.625
136,Warwick,19,9,5,3,3,"['Fighter', 'Tank']",550.0,85,280.0,35.0,335,33.0,3.2,32.1,1.25,125,4.0,0.75,7.466,0.575,0,0,65.0,3.0,2.3,0.638
137,Xayah,498,10,6,1,5,['Marksman'],590.0,88,340.0,40.0,325,25.0,3.0,30.0,0.5,525,3.25,0.75,8.25,0.75,0,0,60.0,2.9,3.3,0.625
